Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent,Value
552,2020-06-30,Shawn Nason,yes,no,no,Winnipeg Football Club,2020-05-19,Commemorative Book $54.99,Courtesy Gift to commemorate the 107th Grey Cup,Retained,54
229,2018-08-01,Jeff Browaty,yes,no,no,Rainbow Stage - Beauty & The Beast,2018-07-26,Tickets estimated value $130.00 (2 tickets at ~$65.00 each),VIP Ticket Offer,Retained,130
404,2019-05-14,Kevin Klein,yes,no,no,End BSL (Breed-Specific Legislation) Manitoba,2019-05-14,$25.00,Raise awareness about Breed-Specific Legislation in Manitoba,retained,25
9,2018-03-20,Janice Lukes,yes,no,no,Canadian Cancer Society,2018-03-19,10 daffodils (flowers) and daffodil pin,Promotion of daffodil month,Retained,
621,2022-04-02,Janice Lukes,yes,no,yes,Earl’s Restaurant,2022-03-10,Gift Cards - $200,Opening of the restaurant,Returned,200
236,2018-09-20,Marty Morantz,yes,no,no,Oak Park Raiders,2018-09-14,Enclosed Football Helmet from Oak Park Raiders,Thank you gift for speaking at grand opening of Gil Bramwell field and for funding over past years to make reconstruction of field possible,retain,
53,2018-04-27,Matt Allard,no,no,yes,Provencher BIZ,2018-04-04,Food and refreshments,Ryan attended the regular meeting of the Provencher Business improvement zone on behalf of Councillor Allard.,Retained,
484,2019-09-26,Brian Bowman,yes,no,no,The Winnipeg Foundation,2019-08-26,Framed Picture of Official Opening of Saint-Boniface Belvedere,Courtesy Gift,Retained,
502,2019-10-11,Vivian Santos,yes,no,no,Folklorama,2019-08-11,Folklorama,attended 16 different folklorama pavilions during the week of August 11th until August 17th,retained,
380,2019-03-29,Janice Lukes,yes,no,no,Artista Homes,2019-03-12,1 Ticket - Winnipeg Jets Game (approx $200 value),"Following a meeting with Manitoba Homebuilder representative Artista Homes, members attended a jets game",Attended the game,200
90,2018-05-24,Shawn Dobson,yes,no,no,Cavalia Odysseo,2018-05-15,2 tickets (approximately $300?),Offered to Council as a representative of the City,retained,300
648,2022-08-04,Brian Bowman,yes,no,no,"Amila Gedara Manager Sales, Marketing and Products Developments Tasty Heat’s Foods",2022-07-18,"Tasty Heat's Foods, Basket of Sauces - $50",Gift,Retained,50
101,2018-06-12,Russ Wyatt,yes,no,no,Roy Liang,2018-05-18,Unknown,Pillow,Retained,
514,2019-11-27,Brian Bowman,yes,no,no,"Diane Redsky, Ma Mawi Wi Chi Itata Centre Inc.",2019-10-09,"One sweatshirt, 2 t-shirts, 2 candles, one blanket, 4 posters - $75.00",Courtesy Gift,Retained,75
640,2022-07-08,Brian Bowman,yes,no,no,Never Forgotten National Memorial Foundation - Tony Trigiani,2022-06-01,Never Forgotten hat - $20,Gift,Retained,20
261,2018-10-31,Brian Bowman,yes,no,yes,Barry Rempel - Winnipeg Airports Authority,2018-10-20,Royal Aviation Museum of Western Canada Wheels Up Gala - $200,Event attendance - protocol,Retain,200
444,2019-07-09,Scott Gillingham,yes,no,no,Canada West Foundation,2019-06-03,Dinner ticket - $150,Invited to attend a local event held by the Canada West Foundation.,The councillor attended the event.,150
570,2021-01-07,Brian Bowman,yes,no,no,Little People of Manitoba,2020-10-26,"Pens, Mask and Coffee Cup-$20.00",Courtesy Gift,Retained,20
184,2018-06-28,Brian Bowman,yes,no,no,Karly Tardiff,2018-06-15,Celebrate Winnipeg Luncheon seat - $50,Invited through Winnipeg is Good fundraising partnership,Retain,50
162,2018-06-25,Mike Pagtakhan,yes,no,no,Casa Do Minho,2018-04-01,Lunch,attended the Traditional Kissing of the Cross followed by Passover meal,attended luncheo,
273,2018-12-10,Vivian Santos,yes,no,no,Winnipeg Chinese Cultural & Community Centre,2018-12-01,Dinner,attended as City Councillor to the WCCCC Annual Christmas & New Years Dinner,retained,
2,2018-02-23,Janice Lukes,yes,no,no,Royal Bank,2018-02-21,Coffee mug - value unkown,Public Engagement event,Use in office,
